run_id,seed,difficulty,player_class,outcome,is_victory,floors_reached,rooms_visited,rooms_cleared,enemies_killed,damage_dealt,damage_taken,damage_efficiency,gold_earned,gold_spent,items_collected,combats,avg_combat_turns,critical_hit_rate
run_1769947023631,1769947023631,NORMAL,WARRIOR,PLAYER_DEATH,False,5,19,13,28,672,248,2.7096774193548385,586,0,10,14,5.5,0.05194805194805195
run_1769947030558,1769947030558,NORMAL,WARRIOR,PLAYER_DEATH,False,5,21,16,25,677,263,2.574144486692015,550,0,7,15,5.4,0.037037037037037035
run_1769947036679,1769947036679,NORMAL,WARRIOR,PLAYER_DEATH,False,5,21,15,29,766,252,3.0396825396825395,603,0,15,14,6.285714285714286,0.03409090909090909
run_1769947042803,1769947042803,NORMAL,WARRIOR,PLAYER_DEATH,False,5,21,16,30,764,230,3.3217391304347825,611,0,13,15,5.866666666666666,0.056818181818181816
run_1769947049405,1769947049405,NORMAL,WARRIOR,PLAYER_DEATH,False,4,18,11,17,426,144,2.9583333333333335,444,0,11,11,4.818181818181818,0.0
run_1769947054793,1769947054793,NORMAL,WARRIOR,PLAYER_DEATH,False,5,21,14,24,707,274,2.5802919708029197,539,0,8,14,6.0,0.047619047619047616
run_1769947061828,1769947061828,NORMAL,WARRIOR,PLAYER_DEATH,False,5,22,18,34,796,255,3.1215686274509804,664,0,7,18,4.888888888888889,0.09090909090909091
run_1769947069043,1769947069043,NORMAL,WARRIOR,PLAYER_DEATH,False,5,20,16,30,725,262,2.767175572519084,605,0,9,16,5.3125,0.047058823529411764
run_1769947075934,1769947075934,NORMAL,WARRIOR,PLAYER_DEATH,False,5,25,19,42,908,215,4.223255813953489,719,0,13,19,5.2105263157894735,0.030303030303030304
run_1769947084252,1769947084252,NORMAL,WARRIOR,PLAYER_DEATH,False,5,22,15,19,410,148,2.77027027027027,445,0,13,14,3.357142857142857,0.10638297872340426
run_1769947092882,1769947092882,NORMAL,WARRIOR,PLAYER_DEATH,False,5,21,17,32,752,248,3.032258064516129,630,0,11,16,5.375,0.046511627906976744
