run_id,seed,difficulty,player_class,outcome,is_victory,floors_reached,rooms_visited,rooms_cleared,enemies_killed,damage_dealt,damage_taken,damage_efficiency,gold_earned,gold_spent,items_collected,combats,avg_combat_turns,critical_hit_rate
run_1769948401617,1769948401617,NORMAL,WARRIOR,VICTORY,True,3,13,12,23,409,71,5.76056338028169,477,0,3,12,4.0,0.0625
run_1769948406852,1769948406852,NORMAL,WARRIOR,VICTORY,True,3,15,12,17,329,72,4.569444444444445,405,0,10,10,3.9,0.07692307692307693
run_1769948410901,1769948410901,NORMAL,WARRIOR,,False,0,0,0,0,0,0,0.0,0,0,0,8,2.75,0.13636363636363635
run_1769948413832,1769948413832,NORMAL,WARRIOR,VICTORY,True,3,12,9,20,367,68,5.397058823529412,444,0,8,9,4.777777777777778,0.023255813953488372
run_1769948417596,1769948417596,NORMAL,WARRIOR,VICTORY,True,3,16,12,19,327,50,6.54,427,0,14,11,3.4545454545454546,0.07894736842105263
run_1769948422266,1769948422266,NORMAL,WARRIOR,VICTORY,True,3,14,11,18,312,61,5.114754098360656,425,0,6,10,3.7,0.0
run_1769948426461,1769948426461,NORMAL,WARRIOR,VICTORY,True,3,17,11,20,389,74,5.256756756756757,459,0,7,11,4.181818181818182,0.043478260869565216
run_1769948431285,1769948431285,NORMAL,WARRIOR,VICTORY,True,3,16,12,19,352,70,5.0285714285714285,439,0,17,9,4.666666666666667,0.07142857142857142
run_1769948435885,1769948435885,NORMAL,WARRIOR,VICTORY,True,3,15,9,14,267,52,5.134615384615385,384,0,12,9,3.3333333333333335,0.06666666666666667
run_1769948440085,1769948440085,NORMAL,WARRIOR,VICTORY,True,3,16,10,16,327,65,5.030769230769231,415,0,9,10,3.6,0.08333333333333333
run_1769948445118,1769948445118,NORMAL,WARRIOR,VICTORY,True,3,14,12,17,359,78,4.602564102564102,420,0,19,9,4.444444444444445,0.15
